cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260215_084722.BIN,11.9472,23.1932,5.7835,23.1932,3.9600,1,21.149,21.665
1,DATA_20260215_084722.BIN,5.7835,38.3374,28.1016,38.3374,4.1800,1,15.479,16.383
2,DATA_20260215_084722.BIN,28.1016,65.2718,3.8396,65.2718,3.4320,1,15.992,15.999
3,DATA_20260215_084722.BIN,12.6323,64.6801,8.3238,64.6801,6.7210,1,25.597,25.717
4,DATA_20260215_084722.BIN,9.8722,48.7678,7.1764,48.7678,4.5650,1,13.746,16.028
5,DATA_20260215_084722.BIN,5.3058,65.5497,4.7598,65.5497,4.9280,1,13.019,13.993
6,DATA_20260215_090000.BIN,19.4556,42.1647,22.6037,42.1647,1.2540,1,107.216,107.944
7,DATA_20260215_090000.BIN,22.6037,37.0959,22.1916,37.0959,2.7060,1,97.449,97.884
8,DATA_20260215_090000.BIN,19.3088,49.0324,19.9768,49.0324,3.8500,1,45.772,45.935
9,DATA_20260215_090000.BIN,8.4558,48.4374,10.9604,48.4374,1.4410,1,72.928,75.837
10,DATA_20260215_090000.BIN,9.9121,18.3931,10.5379,18.3931,2.7390,1,50.327,53.094
11,DATA_20260215_090000.BIN,8.8806,37.2385,14.8822,37.2385,3.8390,1,40.333,42.721
12,DATA_20260215_090000.BIN,8.9294,38.3427,7.1644,38.3427,1.6280,1,54.217,55.653
13,DATA_20260215_090000.BIN,7.1644,16.4954,7.1303,16.4954,1.8370,1,64.415,66.088
14,DATA_20260215_090000.BIN,11.1473,19.8694,9.0851,19.8694,2.9370,1,17.794,17.841
15,DATA_20260215_090000.BIN,8.7323,45.3176,11.3528,45.3176,5.5220,1,13.845,14.902
16,DATA_20260215_090000.BIN,8.2536,43.6513,10.1116,43.6513,1.7160,1,39.940,41.049
17,DATA_20260215_090000.BIN,8.0256,84.6659,18.0777,84.6659,6.6110,1,14.293,14.635
18,DATA_20260215_090000.BIN,11.2785,87.4209,15.4491,87.4209,4.9830,1,48.064,48.164
19,DATA_20260215_090000.BIN,15.4491,24.1052,4.0378,24.1052,2.3760,1,54.635,54.672
20,DATA_20260215_090000.BIN,4.5597,9.7648,3.3670,9.7648,1.6720,1,9.131,13.788
21,DATA_20260215_090000.BIN,3.4042,85.2665,6.1242,85.2665,6.9410,1,36.075,37.748
22,DATA_20260215_090000.BIN,2.0076,44.3480,0.4586,44.3480,2.5520,1,14.190,20.739
23,DATA_20260215_090000.BIN,1.0150,6.5894,1.6198,6.5894,8.6460,1,17.616,19.824
24,DATA_20260215_090000.BIN,1.6198,7.7386,1.5369,7.7386,2.0790,1,14.891,17.824
25,DATA_20260215_090000.BIN,2.4041,9.7835,2.0292,9.7835,1.3310,1,16.219,18.988
26,DATA_20260215_090000.BIN,2.0292,8.6638,3.1611,8.6638,2.6510,1,20.066,21.860
27,DATA_20260215_090000.BIN,2.0759,8.4030,0.6367,8.4030,2.4860,1,15.472,15.892
28,DATA_20260215_090000.BIN,0.6367,7.0157,0.7697,7.0157,4.2570,1,22.790,22.834
29,DATA_20260215_090000.BIN,0.7697,11.4173,1.7158,11.4173,4.8510,1,23.033,23.995
30,DATA_20260215_090000.BIN,1.7158,15.5622,1.6140,15.5622,4.1690,1,16.619,16.690
31,DATA_20260215_090000.BIN,1.6140,28.5588,1.8093,28.5588,8.1730,1,17.369,17.718
32,DATA_20260215_090000.BIN,1.5216,9.1306,3.6406,9.1306,5.5550,1,2.650,5.039
33,DATA_20260215_090000.BIN,1.9991,10.6799,3.3134,10.6799,7.4580,1,23.070,23.071
34,DATA_20260215_090000.BIN,3.3134,10.8207,2.6863,10.8207,3.8830,1,18.640,18.775
35,DATA_20260215_090000.BIN,2.6863,11.8692,1.3892,11.8692,1.5620,1,21.252,21.493
36,DATA_20260215_090000.BIN,1.3892,9.5604,4.2481,9.5604,3.7840,1,21.103,21.214
37,DATA_20260215_090000.BIN,4.2481,10.2463,0.6164,10.2463,5.1480,1,19.573,19.661
38,DATA_20260215_090000.BIN,3.3486,10.7592,1.7777,10.7592,1.5180,1,28.843,28.862
39,DATA_20260215_090000.BIN,1.7777,9.0404,1.3954,9.0404,2.8490,1,9.014,9.660
40,DATA_20260215_090000.BIN,1.3954,16.2986,2.6692,16.2986,2.9920,1,23.704,23.875
41,DATA_20260215_090000.BIN,2.6692,9.2443,1.6075,9.2443,5.2470,1,15.070,15.124
42,DATA_20260215_090000.BIN,1.6075,8.7070,1.0345,8.7070,5.3020,1,6.157,6.955
43,DATA_20260215_090000.BIN,1.0345,12.5246,1.6998,12.5246,4.1690,1,24.756,24.823
44,DATA_20260215_090000.BIN,1.6998,7.0514,1.1460,7.0514,4.1140,1,10.810,11.616
45,DATA_20260215_090000.BIN,1.1460,19.8076,2.2718,19.8076,6.2810,1,12.161,12.420
46,DATA_20260215_090000.BIN,2.2718,10.1848,2.5496,10.1848,6.3140,1,9.920,11.009
47,DATA_20260215_090000.BIN,2.5496,10.9629,1.5971,10.9629,2.2770,1,24.274,24.323
48,DATA_20260215_090000.BIN,1.5971,10.7321,1.4436,10.7321,3.0140,1,24.243,24.294
49,DATA_20260215_090000.BIN,1.4436,9.1471,2.0291,9.1471,5.3900,1,10.992,11.434
50,DATA_20260215_090000.BIN,2.0291,14.5826,2.6417,14.5826,2.0350,1,3.177,4.983
51,DATA_20260215_090000.BIN,0.4310,84.5730,11.7784,84.5730,5.8740,1,22.282,22.300
52,DATA_20260215_090000.BIN,11.7784,67.3072,1.7377,67.3072,4.2020,1,41.660,42.607
53,DATA_20260215_090000.BIN,1.7377,9.7784,3.1402,9.7784,2.3650,1,19.953,19.987
54,DATA_20260215_090000.BIN,2.7304,25.8079,4.7213,25.8079,7.3480,1,17.066,17.590
55,DATA_20260215_090000.BIN,4.7213,13.9790,3.5388,13.9790,1.8590,1,11.306,13.126
56,DATA_20260215_090000.BIN,3.5388,9.2926,0.9166,9.2926,2.1890,1,2.966,3.728
57,DATA_20260215_090000.BIN,2.4788,12.3208,8.4192,12.3208,4.2680,1,7.928,7.938
58,DATA_20260215_090000.BIN,8.4192,12.9509,1.7618,12.9509,3.9820,1,8.882,11.751
59,DATA_20260215_090000.BIN,1.6869,7.8609,1.9071,7.8609,3.0360,1,2.559,3.876
60,DATA_20260215_090000.BIN,1.9071,10.1450,1.6746,10.1450,5.9840,1,10.586,10.596
61,DATA_20260215_090000.BIN,1.7187,10.5942,2.9113,10.5942,2.0570,1,15.202,15.206
62,DATA_20260215_090000.BIN,2.9113,42.4064,4.2208,42.4064,3.7730,1,12.440,12.503
63,DATA_20260215_090000.BIN,1.8913,15.6259,1.0758,15.6259,1.8370,1,12.788,13.256
64,DATA_20260215_090000.BIN,1.0758,7.9382,1.5436,7.9382,1.6280,1,11.622,11.641
65,DATA_20260215_090000.BIN,1.5436,12.1686,2.0039,12.1686,5.6210,1,10.113,10.134
66,DATA_20260215_090000.BIN,2.0039,11.7324,5.6378,11.7324,2.2220,1,8.104,8.912
67,DATA_20260215_090000.BIN,5.6378,13.8063,3.3987,13.8063,1.6170,1,30.023,30.218
68,DATA_20260215_090000.BIN,3.3987,15.7240,1.9085,15.7240,1.6390,1,20.261,20.429
69,DATA_20260215_090000.BIN,1.9085,15.0969,1.7959,15.0969,3.3880,1,5.103,5.104
70,DATA_20260215_090000.BIN,1.7959,14.2050,2.6741,14.2050,3.8830,1,7.823,7.823
71,DATA_20260215_090000.BIN,2.6741,8.0405,1.2894,8.0405,1.6720,1,10.551,11.078
72,DATA_20260215_090000.BIN,1.2894,12.9865,2.5043,12.9865,3.5970,1,9.534,9.629
73,DATA_20260215_090000.BIN,1.8070,59.9165,1.8249,59.9165,3.6080,1,6.491,6.562
74,DATA_20260215_090000.BIN,1.3129,14.4649,1.7425,14.4649,3.1790,1,16.755,16.791
75,DATA_20260215_090000.BIN,1.1169,8.5910,3.6220,8.5910,2.5960,1,12.623,12.624
76,DATA_20260215_090000.BIN,7.8207,45.5001,25.1567,45.5001,3.0250,1,22.890,23.984
77,DATA_20260215_090000.BIN,25.1567,44.0260,6.3937,44.0260,3.0800,1,62.853,62.853
78,DATA_20260215_090000.BIN,1.5609,56.6976,2.9342,56.6976,9.5480,1,18.448,18.450
79,DATA_20260215_090000.BIN,2.9342,12.3938,2.3436,12.3938,1.6060,1,21.040,21.545
80,DATA_20260215_090000.BIN,2.3436,11.0050,1.0522,11.0050,1.7930,1,2.965,3.764
81,DATA_20260215_090000.BIN,1.0522,11.0870,1.4981,11.0870,1.8810,1,3.878,3.914
82,DATA_20260215_090000.BIN,1.6692,11.6335,1.2548,11.6335,6.4350,1,4.968,4.996
83,DATA_20260215_090000.BIN,1.2548,12.6969,2.2876,12.6969,6.6770,1,1.814,1.894
84,DATA_20260215_090000.BIN,2.2876,11.5734,1.8502,11.5734,4.3340,1,6.752,7.151
85,DATA_20260215_090000.BIN,1.8502,10.0430,1.2173,10.0430,3.5750,1,5.584,5.753
86,DATA_20260215_090000.BIN,1.2173,12.3707,1.4068,12.3707,3.9160,1,4.451,4.774
87,DATA_20260215_090000.BIN,1.4068,8.1544,1.3075,8.1544,8.9760,1,2.054,2.225
88,DATA_20260215_090000.BIN,1.3075,8.2273,1.8142,8.2273,1.4080,1,6.004,6.275
89,DATA_20260215_090000.BIN,1.8142,10.9891,1.8866,10.9891,1.4410,1,6.074,6.079
90,DATA_20260215_090000.BIN,1.8866,72.1665,2.8510,72.1665,3.6190,1,9.854,9.864
91,DATA_20260215_090000.BIN,2.8510,11.4703,2.5979,11.4703,1.7490,1,10.022,10.612
92,DATA_20260215_090000.BIN,2.5979,8.8004,2.0592,8.8004,1.4630,1,11.434,11.461
93,DATA_20260215_090000.BIN,2.0592,11.3273,4.2820,11.3273,3.2010,1,12.578,12.581
94,DATA_20260215_090000.BIN,2.3902,10.6564,1.3836,10.6564,1.7820,1,10.903,10.906
95,DATA_20260215_090000.BIN,2.6009,8.9062,2.1700,8.9062,2.1010,1,6.865,6.901
96,DATA_20260215_090000.BIN,2.1700,13.0869,2.5563,13.0869,1.8150,1,12.892,13.339
