date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,47,4.5329,21.1580,1.3190,21.1580,2.8930,1,19.574,21.303
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,48,2.6681,6.6989,1.0058,6.6989,4.1030,1,9.562,9.563
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,49,0.8502,7.8042,3.4741,7.8042,2.7060,1,19.632,19.911
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,50,3.6211,17.1828,3.3350,17.1828,4.7740,1,17.679,17.686
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,51,3.3350,13.3672,3.6311,13.3672,2.7720,1,1.606,1.737
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,52,3.6311,8.6167,3.5329,8.6167,4.6640,1,3.293,3.316
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,53,3.5329,11.5852,5.0160,11.5852,2.0460,1,7.149,7.152
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,54,3.8265,15.3385,3.2810,15.3385,2.8160,1,8.075,8.122
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,55,3.2810,9.5078,3.1580,9.5078,1.1110,1,8.162,8.278
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,56,3.1580,7.8212,3.6479,7.8212,5.0050,1,4.219,4.413
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,57,3.6479,10.2605,0.6544,10.2605,1.9580,1,2.529,2.546
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,58,0.6544,40.3431,1.1424,40.3431,7.3590,1,15.634,15.949
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,59,6.6437,11.7050,3.5638,11.7050,6.9190,1,5.290,8.440
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,60,3.5638,12.5155,1.3832,12.5155,4.6200,1,8.351,9.344
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,61,5.7730,17.1831,1.9496,17.1831,2.8050,1,25.115,28.256
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,62,1.9496,14.9157,7.7005,14.9157,8.9320,1,21.717,22.555
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,63,7.7005,15.8364,5.4635,15.8364,1.3640,1,25.234,27.095
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,64,5.4635,51.4118,4.4626,51.4118,5.2800,1,10.648,13.363
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,65,4.4626,15.5798,7.5977,15.5798,1.1770,1,9.263,11.732
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,66,10.2145,19.5471,1.5227,19.5471,6.2480,1,23.809,25.160
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,67,0.5580,6.0852,0.7342,6.0852,7.1500,1,4.269,4.369
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,68,0.7342,27.8470,5.8906,27.8470,3.4430,1,9.653,9.664
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,69,5.8906,54.2654,10.3941,54.2654,6.8970,1,9.381,11.630
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,70,9.9291,17.2362,4.1227,17.2362,3.0470,1,15.627,17.871
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,71,4.1227,13.3449,4.5932,13.3449,2.4530,1,34.602,34.606
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,72,4.5932,19.1140,4.3325,19.1140,5.3680,1,16.049,16.061
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,73,10.3420,21.1287,4.8299,21.1287,7.0840,1,8.556,10.793
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,74,8.9404,51.6977,4.0775,51.6977,5.1920,1,14.239,17.265
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,75,6.0537,15.6356,4.2921,15.6356,2.2330,1,50.753,50.807
2026-03-10,2026-03-10,DATA_20260310_150000.BIN,76,0.9053,22.5262,11.7914,22.5262,3.5750,1,66.064,67.926
2026-03-10,2026-03-10,DATA_20260310_150000.BIN,77,7.1988,19.9939,4.5228,19.9939,7.4360,1,47.216,50.088
2026-03-10,2026-03-10,DATA_20260310_150000.BIN,78,6.5914,17.3966,5.5611,17.3966,6.8640,1,62.281,62.311
2026-03-10,2026-03-10,DATA_20260310_150000.BIN,79,2.3530,30.7605,1.7167,30.7605,5.5990,1,49.646,49.655
2026-03-10,2026-03-10,DATA_20260310_150000.BIN,80,6.5246,29.1936,8.6869,29.1936,3.8500,1,64.267,64.301
2026-03-10,2026-03-10,DATA_20260310_150000.BIN,81,5.2899,17.0874,6.9797,17.0874,7.7660,1,60.432,60.519
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,82,5.0237,16.5796,1.7720,16.5796,4.0480,1,27.880,44.241
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,83,1.4632,13.0945,1.6326,13.0945,8.1180,1,27.274,35.898
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,84,1.6326,12.0288,2.6101,12.0288,6.0390,1,22.341,29.724
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,85,2.6101,21.1789,1.3426,21.1789,7.3480,1,23.399,30.762
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,86,1.3426,7.4131,0.9561,7.4131,2.1340,1,16.878,24.051
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,87,0.9561,7.2168,0.4158,7.2168,2.0020,1,16.631,18.772
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,88,0.4158,6.4437,1.3534,6.4437,2.4640,1,15.470,16.324
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,89,1.3534,7.8632,2.3579,7.8632,1.9690,1,14.309,19.410
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,90,2.3579,13.6836,1.0505,13.6836,3.2670,1,14.246,20.069
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,91,1.0505,7.8549,0.9533,7.8549,4.2350,1,10.546,15.648
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,92,0.4342,17.6657,2.4232,17.6657,4.1030,1,9.473,14.443
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,93,2.4232,8.6998,1.2346,8.6998,1.9580,1,10.014,16.475
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,94,1.2346,21.1633,16.5325,21.1633,8.5250,1,8.379,8.872
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,95,16.5325,26.4078,2.0784,26.4078,8.5360,1,29.139,32.005
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,96,2.0784,8.1152,3.6581,8.1152,1.7710,1,7.055,8.508
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,97,3.6581,22.4166,13.2475,22.4166,8.1950,1,7.721,10.471
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,98,13.2475,23.8340,10.1164,23.8340,3.0690,1,20.860,26.191
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,99,10.1164,23.3299,12.7029,23.3299,8.6900,1,14.483,17.715
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,100,11.5565,21.8912,5.1069,21.8912,3.1240,1,13.331,15.940
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,101,3.9238,10.3192,1.2891,10.3192,2.2660,1,6.084,8.062
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,102,1.2891,23.5931,4.6105,23.5931,7.1610,1,5.973,8.373
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,103,4.6105,11.1479,4.4224,11.1479,1.2980,1,6.170,8.882
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,104,4.4224,17.6361,5.8749,17.6361,3.7950,1,1.442,5.959
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,105,5.8749,17.5429,3.3623,17.5429,7.5680,1,1.593,6.915
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,106,3.3623,11.4966,2.1121,11.4966,4.2020,1,4.821,6.834
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,107,2.1121,7.7656,2.2613,7.7656,1.4520,1,1.018,2.812
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,108,2.2613,9.3061,2.7667,9.3061,1.0780,1,1.300,1.623
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,109,2.8105,9.9222,3.1840,9.9222,6.0280,1,5.418,5.628
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,110,3.1840,14.1574,1.1920,14.1574,7.2930,1,1.520,1.530
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,111,1.1920,8.4138,2.6116,8.4138,3.2560,1,5.482,5.879
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,112,2.6116,27.0995,0.4252,27.0995,8.7890,1,2.882,2.890
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,113,4.2543,9.1366,1.3724,9.1366,2.9370,1,4.741,5.594
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,114,1.3724,11.1669,3.3908,11.1669,5.4890,1,1.546,1.556
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,115,2.2736,7.6776,0.7007,7.6776,4.9500,1,3.702,3.707
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,116,0.7007,6.9750,1.3709,6.9750,5.3680,1,3.073,4.221
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,117,3.2715,8.7428,4.4816,8.7428,4.3340,1,3.569,4.430
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,118,0.6614,26.2354,1.6219,26.2354,5.0930,1,6.002,11.624
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,119,0.7369,9.5539,2.2253,9.5539,6.3140,1,4.068,8.803
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,120,2.2253,6.6208,1.5628,6.6208,2.9810,1,3.309,6.434
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,121,1.5628,17.1597,10.3712,17.1597,3.0690,1,3.577,6.762
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,122,10.3712,25.0647,0.3303,25.0647,6.9300,1,12.906,13.316
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,123,2.1100,26.3725,0.9183,26.3725,6.1820,1,1.727,1.792
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,124,16.4192,25.6515,19.5911,25.6515,4.0260,1,19.970,21.182
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,125,10.3004,26.4618,11.7107,26.4618,7.4690,1,10.122,11.514
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,126,18.3172,22.2003,18.1903,22.2003,7.4800,1,22.766,23.062
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,127,9.5198,17.1853,2.7043,17.1853,3.9600,1,3.198,7.186
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,128,2.7043,12.8636,0.7329,12.8636,5.8080,1,7.977,10.318
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,129,0.7329,10.6987,0.4172,10.6987,2.8380,1,7.111,7.176
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,130,2.6863,7.3947,2.1896,7.3947,2.7060,1,10.119,10.576
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,131,2.1265,13.1719,1.9754,13.1719,2.2110,1,7.801,8.456
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,132,2.5746,17.2539,2.6247,17.2539,4.9500,1,8.057,10.168
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,133,1.2421,12.5290,4.3341,12.5290,5.5000,1,6.451,6.564
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,134,4.3341,9.6336,1.0870,9.6336,5.2360,1,8.628,8.632
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,135,1.0870,12.7322,5.3084,12.7322,2.7610,1,2.254,2.282
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,136,3.2991,11.0927,1.7081,11.0927,1.7710,1,7.550,7.563
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,137,1.7081,25.8040,3.5889,25.8040,6.5120,1,2.745,3.305
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,138,3.5889,11.2150,3.3405,11.2150,1.0010,1,2.504,2.871
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,139,3.3405,10.9058,3.7256,10.9058,0.9680,1,3.437,3.489
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,140,6.8777,13.5590,7.6150,13.5590,3.4430,1,6.736,6.755
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,141,8.2889,14.6152,6.5597,14.6152,2.4750,1,7.714,8.052
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,142,5.7668,12.5683,7.0374,12.5683,2.6620,1,4.057,4.069
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,143,7.0374,25.4237,7.5498,25.4237,3.5200,1,5.275,5.278
