cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260313_090000.BIN,10.2020,22.7977,1.6798,22.7977,2.2330,1,39.911,43.627
1,DATA_20260313_090000.BIN,2.6343,11.2111,2.9454,11.2111,4.7410,1,39.408,41.001
2,DATA_20260313_090000.BIN,2.1090,10.7653,0.5059,10.7653,5.6540,1,36.426,41.266
3,DATA_20260313_090000.BIN,1.5366,23.7374,1.9134,23.7374,7.2270,1,29.444,31.818
4,DATA_20260313_090000.BIN,1.9134,9.3131,3.2506,9.3131,2.5300,1,29.429,30.741
5,DATA_20260313_090000.BIN,1.6468,14.0135,1.8741,14.0135,3.6630,1,24.350,30.070
6,DATA_20260313_090000.BIN,2.2693,12.4117,1.1548,12.4117,5.1810,1,20.513,21.483
7,DATA_20260313_090000.BIN,1.1548,10.8232,3.3496,10.8232,9.1960,1,20.549,22.644
8,DATA_20260313_090000.BIN,2.5882,14.8888,6.5769,14.8888,8.2940,1,18.038,21.105
9,DATA_20260313_090000.BIN,6.5769,15.8911,7.6353,15.8911,1.4960,1,8.992,10.658
10,DATA_20260313_090000.BIN,30.9771,41.1011,30.0212,41.1011,1.6060,1,24.592,24.592
11,DATA_20260313_090000.BIN,20.1448,40.1764,3.5745,40.1764,3.8610,1,15.488,15.684
12,DATA_20260313_090000.BIN,3.5745,29.5998,7.0365,29.5998,4.5650,1,13.267,13.583
13,DATA_20260313_090000.BIN,7.0365,17.7982,5.6356,17.7982,3.8060,1,7.187,7.378
14,DATA_20260313_090000.BIN,7.3220,16.7733,7.7894,16.7733,7.5790,1,17.267,23.443
15,DATA_20260313_090000.BIN,6.2351,20.2388,0.4668,20.2388,5.9290,1,7.430,7.631
16,DATA_20260313_090000.BIN,2.2095,10.4086,0.7119,10.4086,5.0380,1,16.988,18.674
17,DATA_20260313_090000.BIN,1.1278,17.0537,1.3115,17.0537,7.4250,1,15.461,17.475
18,DATA_20260313_090000.BIN,1.3115,8.8674,2.0930,8.8674,6.3470,1,14.743,14.743
19,DATA_20260313_090000.BIN,2.0930,12.6711,3.1898,12.6711,1.3750,1,13.308,13.312
20,DATA_20260313_090000.BIN,8.1568,22.9832,3.8917,22.9832,5.2030,1,13.463,15.151
21,DATA_20260313_090000.BIN,3.8917,12.0608,4.5046,12.0608,1.5730,1,4.105,4.356
22,DATA_20260313_090000.BIN,1.3515,11.6447,2.5020,11.6447,6.5450,1,7.199,7.222
23,DATA_20260313_090000.BIN,11.4901,22.3719,14.4527,22.3719,2.4750,1,11.978,12.585
24,DATA_20260313_090000.BIN,2.0518,11.9629,3.2022,11.9629,5.8080,1,14.404,17.960
25,DATA_20260313_090000.BIN,3.2022,12.4965,4.3842,12.4965,2.9810,1,8.368,8.398
26,DATA_20260313_090000.BIN,4.3842,12.5888,0.1861,12.5888,5.3570,1,4.587,5.157
27,DATA_20260313_090000.BIN,0.1861,25.6705,4.1400,25.6705,2.4420,1,9.996,12.506
28,DATA_20260313_090000.BIN,4.1400,41.9392,4.6071,41.9392,4.3670,1,8.455,11.491
29,DATA_20260313_090000.BIN,3.8962,13.4898,1.0460,13.4898,6.6770,1,6.526,7.960
30,DATA_20260313_090000.BIN,1.3076,9.9104,1.6908,9.9104,6.8970,1,6.418,6.560
31,DATA_20260313_090000.BIN,0.3972,7.9383,0.9404,7.9383,6.1380,1,8.725,13.048
32,DATA_20260313_090000.BIN,0.9404,11.9195,1.8253,11.9195,3.7510,1,4.466,4.893
33,DATA_20260313_090000.BIN,2.6788,15.4514,2.9665,15.4514,7.5570,1,7.584,10.553
34,DATA_20260313_090000.BIN,2.9665,9.9705,2.5835,9.9705,2.1560,1,3.951,7.625
35,DATA_20260313_090000.BIN,2.8437,8.3091,1.2371,8.3091,9.4710,1,6.183,9.872
36,DATA_20260313_090000.BIN,1.8752,7.9773,1.8827,7.9773,7.5790,1,8.626,10.532
37,DATA_20260313_090000.BIN,0.7816,8.2443,0.6900,8.2443,2.1450,1,2.044,2.047
38,DATA_20260313_090000.BIN,1.9082,8.8698,3.0671,8.8698,8.6020,1,7.494,9.244
39,DATA_20260313_090000.BIN,1.0054,8.2663,1.4614,8.2663,3.3330,1,2.031,2.963
40,DATA_20260313_090000.BIN,2.0630,9.7120,1.2904,9.7120,9.7020,1,1.549,2.527
41,DATA_20260313_090000.BIN,1.2904,7.6602,1.0899,7.6602,6.3360,1,10.963,15.714
42,DATA_20260313_090000.BIN,1.0899,7.1851,0.3670,7.1851,7.1940,1,4.897,7.844
43,DATA_20260313_090000.BIN,2.0315,17.3363,8.2547,17.3363,6.7320,1,5.187,5.549
