cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260323_092715.BIN,2.7902,9.4476,2.6822,9.4476,1.7160,1,6.974,7.060
1,DATA_20260323_092715.BIN,2.6822,12.9112,5.8565,12.9112,2.8820,1,4.436,8.015
2,DATA_20260323_092715.BIN,3.6039,20.6474,5.5778,20.6474,4.1030,1,3.607,5.343
3,DATA_20260323_092715.BIN,5.5778,14.8844,4.3301,14.8844,1.4850,1,9.027,9.635
4,DATA_20260323_092715.BIN,5.8747,41.2505,2.0267,41.2505,2.3650,1,8.648,8.662
5,DATA_20260323_092715.BIN,2.0267,14.0305,5.9989,14.0305,6.2810,1,3.109,3.248
6,DATA_20260323_092715.BIN,5.9989,18.3991,2.0616,18.3991,2.7280,1,7.658,10.498
7,DATA_20260323_092715.BIN,2.6311,50.0057,2.0936,50.0057,4.0150,1,3.027,4.124
8,DATA_20260323_092715.BIN,2.0936,11.6887,1.8108,11.6887,6.8420,1,2.841,4.628
9,DATA_20260323_092715.BIN,1.8108,10.9271,4.8742,10.9271,2.6400,1,1.951,2.464
10,DATA_20260323_092715.BIN,4.8742,10.7171,3.3239,10.7171,2.9260,1,5.748,8.188
11,DATA_20260323_092715.BIN,0.5168,12.3842,4.8171,12.3842,8.1180,1,0.860,8.482
12,DATA_20260323_092715.BIN,4.8171,11.6711,2.4344,11.6711,2.8490,1,4.930,7.681
13,DATA_20260323_092715.BIN,2.4344,12.0136,3.4117,12.0136,3.0140,1,3.832,3.837
14,DATA_20260323_092715.BIN,3.4117,8.7316,4.8803,8.7316,6.8640,1,3.543,4.040
15,DATA_20260323_092715.BIN,4.8803,10.6631,3.0741,10.6631,7.9200,1,6.373,6.388
16,DATA_20260323_092715.BIN,3.0741,52.5379,45.7553,52.5379,3.2560,1,3.436,3.802
17,DATA_20260323_092715.BIN,45.7553,52.1791,1.5522,52.1791,5.0380,1,61.321,69.358
