cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260312_110000.BIN,10.8427,13.2706,10.6658,13.2706,2.8270,1,7.058,8.914
1,DATA_20260312_110000.BIN,7.0068,12.1936,3.5272,12.1936,2.8160,1,11.132,11.254
2,DATA_20260312_110000.BIN,3.5272,16.0318,13.1991,16.0318,3.9160,1,15.577,16.199
3,DATA_20260312_110000.BIN,13.1991,16.6504,2.0454,16.6504,5.8960,1,19.725,29.315
4,DATA_20260312_110000.BIN,2.0454,4.3718,0.7151,4.3718,3.4650,1,13.417,21.493
5,DATA_20260312_110000.BIN,0.7151,5.5483,1.2959,5.5483,4.2570,1,14.322,23.336
6,DATA_20260312_110000.BIN,1.2959,9.3498,0.9186,9.3498,4.0810,1,11.470,17.338
7,DATA_20260312_110000.BIN,0.9186,5.1870,3.3941,5.1870,4.0700,1,10.998,12.398
8,DATA_20260312_110000.BIN,5.4581,10.5299,3.2768,10.5299,3.2780,1,4.040,9.817
9,DATA_20260312_110000.BIN,3.2768,7.7175,0.5956,7.7175,3.6080,1,8.898,16.538
10,DATA_20260312_110000.BIN,0.5956,4.1415,1.5561,4.1415,1.8040,1,9.009,15.086
11,DATA_20260312_110000.BIN,1.5561,4.3473,1.0940,4.3473,1.7160,1,6.839,15.495
12,DATA_20260312_110000.BIN,1.0940,12.4219,6.4416,12.4219,4.6200,1,8.912,17.869
13,DATA_20260312_110000.BIN,6.4416,10.6170,4.8084,10.6170,2.5190,1,1.456,6.568
14,DATA_20260312_110000.BIN,4.8084,7.3794,1.4534,7.3794,3.0800,1,9.231,10.037
15,DATA_20260312_110000.BIN,5.0893,7.6159,2.0965,7.6159,2.7390,1,0.651,0.715
16,DATA_20260312_110000.BIN,2.0965,11.0896,5.4899,11.0896,5.3570,1,3.663,7.895
17,DATA_20260312_110000.BIN,6.3159,12.0407,6.5866,12.0407,1.7820,1,1.834,6.044
18,DATA_20260312_110000.BIN,1.1019,6.0583,0.2016,6.0583,7.0730,1,6.551,7.144
19,DATA_20260312_110000.BIN,0.3167,6.0374,1.8411,6.0374,2.4090,1,4.930,8.317
20,DATA_20260312_110000.BIN,0.5012,2.9535,0.4242,2.9535,5.4120,1,4.179,4.681
21,DATA_20260312_110000.BIN,0.4242,4.6584,0.5590,4.6584,3.1570,1,4.786,4.795
22,DATA_20260312_110000.BIN,0.5590,4.1607,0.0872,4.1607,6.3030,1,3.178,3.370
23,DATA_20260312_110000.BIN,0.8690,6.6248,1.3299,6.6248,5.0050,1,4.228,5.731
24,DATA_20260312_110000.BIN,2.4055,11.0644,2.1184,11.0644,4.8950,1,2.960,4.480
25,DATA_20260312_110000.BIN,2.1184,4.9431,0.7939,4.9431,6.8310,1,3.819,3.931
26,DATA_20260312_110000.BIN,0.7939,6.5657,0.6995,6.5657,4.6970,1,1.816,2.376
27,DATA_20260312_110000.BIN,0.6995,7.8019,2.1938,7.8019,2.9700,1,3.137,3.175
28,DATA_20260312_110000.BIN,2.1938,4.8819,0.4024,4.8819,2.2660,1,1.750,4.495
29,DATA_20260312_110000.BIN,0.4024,8.5647,4.6672,8.5647,3.4320,1,2.675,2.831
30,DATA_20260312_110000.BIN,3.4310,10.0412,2.5189,10.0412,2.6400,1,4.780,7.099
31,DATA_20260312_110000.BIN,2.5189,6.1838,0.3609,6.1838,5.5990,1,4.042,4.650
32,DATA_20260312_110000.BIN,0.3609,5.7913,0.8610,5.7913,4.8290,1,1.750,2.668
33,DATA_20260312_110000.BIN,0.8610,3.4562,0.0331,3.4562,5.6650,1,2.005,2.023
34,DATA_20260312_110000.BIN,0.0331,4.7368,0.7557,4.7368,6.3690,1,2.641,5.605
35,DATA_20260312_110000.BIN,0.7557,4.0148,0.8430,4.0148,2.4750,1,0.503,0.653
36,DATA_20260312_110000.BIN,0.8430,3.1400,0.2587,3.1400,8.3160,1,2.330,2.536
37,DATA_20260312_110000.BIN,0.2587,3.4587,0.4559,3.4587,6.7210,1,1.893,3.130
38,DATA_20260312_110000.BIN,0.4559,4.3488,1.0439,4.3488,5.3790,1,2.083,3.711
39,DATA_20260312_110000.BIN,1.0439,3.7368,0.9705,3.7368,3.4540,1,3.160,6.329
40,DATA_20260312_110000.BIN,0.9705,6.9429,0.9619,6.9429,7.1720,1,0.794,1.629
41,DATA_20260312_110000.BIN,0.9619,4.9028,0.4441,4.9028,2.0460,1,0.345,0.598
42,DATA_20260312_110000.BIN,0.1594,2.9931,0.3185,2.9931,3.1570,1,0.600,1.255
43,DATA_20260312_110000.BIN,2.2414,7.8622,2.3411,7.8622,6.5780,1,1.808,3.031
44,DATA_20260312_110000.BIN,2.3411,6.4572,1.7193,6.4572,3.7840,1,3.014,3.067
45,DATA_20260312_110000.BIN,1.2964,3.9949,0.1977,3.9949,7.5790,1,2.473,3.631
46,DATA_20260312_110000.BIN,0.6720,6.0347,1.8749,6.0347,6.8530,1,1.192,1.338
47,DATA_20260312_110000.BIN,1.8749,3.8599,0.2699,3.8599,5.4780,1,1.630,2.255
48,DATA_20260312_110000.BIN,0.2699,6.6158,1.4328,6.6158,8.7450,1,0.701,1.032
49,DATA_20260312_110000.BIN,1.4328,5.5384,1.1902,5.5384,7.3150,1,2.427,4.015
50,DATA_20260312_110000.BIN,2.1484,4.9304,0.8081,4.9304,3.2560,1,2.029,2.277
51,DATA_20260312_110000.BIN,0.9137,5.1298,1.8400,5.1298,4.7850,1,0.318,1.766
52,DATA_20260312_110000.BIN,1.8400,4.4569,0.1011,4.4569,2.0790,1,1.764,2.381
53,DATA_20260312_110000.BIN,0.4724,3.7886,1.3565,3.7886,6.7540,1,0.618,2.580
54,DATA_20260312_110000.BIN,0.2424,3.5084,1.2371,3.5084,1.7600,1,0.981,1.543
55,DATA_20260312_110000.BIN,1.2371,6.2324,1.8059,6.2324,7.9970,1,0.995,2.760
56,DATA_20260312_110000.BIN,1.8059,5.1849,1.4180,5.1849,7.3040,1,2.487,3.321
57,DATA_20260312_110000.BIN,1.4180,3.7513,1.2262,3.7513,2.8710,1,1.846,2.559
58,DATA_20260312_110000.BIN,1.7994,4.5719,0.8456,4.5719,3.1350,1,1.930,3.428
59,DATA_20260312_110000.BIN,2.2548,8.3283,2.1913,8.3283,4.2240,1,2.810,2.814
60,DATA_20260312_110000.BIN,1.2009,4.2332,1.0675,4.2332,3.2230,1,2.008,2.984
61,DATA_20260312_110000.BIN,1.7984,5.1473,2.5903,5.1473,2.9480,1,1.922,2.049
62,DATA_20260312_110000.BIN,2.5903,4.9758,2.3330,4.9758,1.6390,1,2.835,2.844
