cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260322_082940.BIN,6.1312,14.4262,9.1147,14.4262,1.9470,1,2.530,3.817
1,DATA_20260322_082940.BIN,9.1147,13.2034,6.8628,13.2034,3.0690,1,1.978,4.907
2,DATA_20260322_082940.BIN,6.8628,11.5191,7.2542,11.5191,2.9920,1,4.629,4.758
3,DATA_20260322_082940.BIN,6.7816,10.2703,7.8449,10.2703,2.3650,1,6.803,6.803
4,DATA_20260322_082940.BIN,7.8449,11.1557,6.0774,11.1557,1.7600,1,4.942,5.251
5,DATA_20260322_082940.BIN,6.0774,11.3237,8.7160,11.3237,3.2780,1,5.898,6.029
6,DATA_20260322_082940.BIN,8.7160,12.2269,6.8571,12.2269,2.8710,1,3.530,4.237
7,DATA_20260322_082940.BIN,6.8571,12.6369,6.8830,12.6369,2.1010,1,3.468,3.483
8,DATA_20260322_082940.BIN,6.8830,11.7924,5.2582,11.7924,1.7600,1,0.436,2.683
9,DATA_20260322_082940.BIN,5.2582,12.0517,7.8748,12.0517,5.5770,1,2.915,3.513
10,DATA_20260322_082940.BIN,7.8748,12.8293,3.7214,12.8293,6.8640,1,6.903,6.928
11,DATA_20260322_082940.BIN,3.7214,16.2115,5.3440,16.2115,7.1610,1,4.397,4.963
12,DATA_20260322_082940.BIN,5.3440,16.7205,6.6532,16.7205,3.5420,1,10.115,10.646
13,DATA_20260322_082940.BIN,6.6532,17.9648,6.4693,17.9648,3.0470,1,9.360,12.899
14,DATA_20260322_082940.BIN,4.9178,12.0031,7.5547,12.0031,1.3090,1,1.471,6.703
15,DATA_20260322_082940.BIN,7.5547,11.5274,5.1297,11.5274,2.7940,1,3.460,3.498
16,DATA_20260322_082940.BIN,5.1297,12.5811,5.7412,12.5811,5.7970,1,1.070,9.948
17,DATA_20260322_082940.BIN,3.2271,10.3729,6.7655,10.3729,1.7380,1,6.352,7.691
18,DATA_20260322_082940.BIN,9.3575,13.5690,8.3561,13.5690,1.5290,1,6.443,8.445
19,DATA_20260322_082940.BIN,8.3561,20.1999,9.8385,20.1999,4.5870,1,3.909,5.186
20,DATA_20260322_082940.BIN,9.8385,20.1663,16.0279,20.1663,2.9150,1,5.468,7.755
21,DATA_20260322_082940.BIN,12.8603,16.4801,1.6349,16.4801,1.5950,1,7.842,7.961
22,DATA_20260322_082940.BIN,1.6349,9.1748,4.4176,9.1748,1.1660,1,10.131,12.271
23,DATA_20260322_082940.BIN,4.4176,19.2084,7.3307,19.2084,4.1800,1,2.023,2.367
24,DATA_20260322_082940.BIN,7.3307,14.9316,6.9807,14.9316,3.2120,1,4.047,4.880
25,DATA_20260322_082940.BIN,6.9807,12.2848,8.2352,12.2848,3.7290,1,3.673,4.361
26,DATA_20260322_082940.BIN,8.2352,10.7231,5.0007,10.7231,2.1560,1,3.167,3.641
27,DATA_20260322_082940.BIN,8.3519,20.9168,9.7124,20.9168,4.2790,1,2.869,2.874
28,DATA_20260322_082940.BIN,9.7124,14.3243,0.4950,14.3243,3.8280,1,6.450,8.475
29,DATA_20260322_082940.BIN,0.4950,8.7588,1.8956,8.7588,2.9480,1,7.598,8.187
30,DATA_20260322_082940.BIN,1.8956,15.1398,6.3297,15.1398,2.4090,1,6.559,7.114
31,DATA_20260322_082940.BIN,6.3297,15.0358,10.5736,15.0358,1.3750,1,1.741,8.580
32,DATA_20260322_082940.BIN,10.5736,18.0880,2.1097,18.0880,2.4970,1,5.826,6.063
33,DATA_20260322_082940.BIN,8.2378,14.4134,3.5121,14.4134,2.9920,1,3.645,3.916
34,DATA_20260322_082940.BIN,3.5121,9.3206,4.4663,9.3206,1.2320,1,3.355,3.415
35,DATA_20260322_082940.BIN,4.4663,10.0089,3.8211,10.0089,2.8930,1,3.382,3.408
36,DATA_20260322_082940.BIN,3.8211,8.4478,1.2871,8.4478,3.1460,1,2.336,2.820
37,DATA_20260322_082940.BIN,3.1251,10.1318,2.4616,10.1318,1.4190,1,3.076,5.679
38,DATA_20260322_082940.BIN,5.0918,15.7572,5.3461,15.7572,5.5550,1,0.396,3.360
39,DATA_20260322_082940.BIN,5.3461,13.1534,8.0229,13.1534,3.0690,1,0.312,6.084
40,DATA_20260322_082940.BIN,8.0229,15.0699,5.9272,15.0699,1.8810,1,3.091,3.102
41,DATA_20260322_082940.BIN,5.9272,12.3989,7.2561,12.3989,1.5290,1,1.781,2.394
42,DATA_20260322_082940.BIN,5.8745,10.8807,6.0038,10.8807,1.6720,1,0.742,0.798
43,DATA_20260322_082940.BIN,6.0038,9.8899,6.3383,9.8899,1.4520,1,0.674,0.969
44,DATA_20260322_082940.BIN,6.3383,11.5477,4.0392,11.5477,3.3770,1,1.660,1.679
45,DATA_20260322_082940.BIN,4.0392,16.3239,0.4262,16.3239,4.9610,1,3.954,5.032
46,DATA_20260322_082940.BIN,0.4262,4.1693,0.4522,4.1693,2.3980,1,5.802,5.828
47,DATA_20260322_082940.BIN,2.0610,7.3765,3.4173,7.3765,8.2170,1,3.541,5.174
48,DATA_20260322_082940.BIN,3.4173,7.2848,3.2194,7.2848,1.4740,1,2.057,2.196
49,DATA_20260322_082940.BIN,3.2194,16.5732,6.6312,16.5732,4.7190,1,2.215,3.230
50,DATA_20260322_082940.BIN,6.6312,10.7450,5.5402,10.7450,1.4410,1,2.822,3.022
51,DATA_20260322_082940.BIN,0.6948,14.3504,4.8477,14.3504,5.3680,1,5.937,7.431
52,DATA_20260322_082940.BIN,4.8477,8.7659,3.5286,8.7659,2.1450,1,1.515,2.406
53,DATA_20260322_082940.BIN,3.5286,13.9573,3.1939,13.9573,4.7410,1,2.869,7.723
54,DATA_20260322_082940.BIN,3.1939,17.3352,6.1348,17.3352,8.3270,1,2.590,2.783
55,DATA_20260322_082940.BIN,6.1348,12.1518,7.7274,12.1518,2.0460,1,6.053,8.889
56,DATA_20260322_082940.BIN,5.0544,12.2971,8.4199,12.2971,1.9250,1,1.856,2.240
57,DATA_20260322_082940.BIN,8.4199,12.1091,8.0326,12.1091,1.2650,1,5.112,5.225
58,DATA_20260322_082940.BIN,5.4305,11.2174,3.7894,11.2174,2.5520,1,1.707,4.714
59,DATA_20260322_082940.BIN,3.7894,12.5637,5.1733,12.5637,1.4850,1,2.075,2.363
60,DATA_20260322_082940.BIN,5.1733,14.2912,9.7474,14.2912,2.4970,1,0.759,7.784
61,DATA_20260322_082940.BIN,1.3735,12.4821,7.3181,12.4821,2.0240,1,5.215,7.066
62,DATA_20260322_082940.BIN,7.3181,14.0978,10.7131,14.0978,3.8500,1,4.022,4.086
63,DATA_20260322_082940.BIN,10.7131,38.6774,13.0104,38.6774,9.2730,1,8.400,8.606
