cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260323_060343.BIN,9.6132,16.3257,11.7379,16.3257,3.4210,1,2.679,2.892
1,DATA_20260323_060343.BIN,0.4489,12.7107,0.2212,12.7107,4.3010,1,9.138,9.404
2,DATA_20260323_060343.BIN,0.2212,14.4719,5.0671,14.4719,4.5760,1,8.431,11.528
3,DATA_20260323_060343.BIN,5.0671,11.2166,2.3077,11.2166,1.6500,1,6.430,6.513
4,DATA_20260323_060343.BIN,2.3077,15.9718,6.6632,15.9718,1.8590,1,8.664,8.926
5,DATA_20260323_060343.BIN,6.6632,16.8589,8.6601,16.8589,6.1490,1,5.578,5.732
6,DATA_20260323_060343.BIN,8.6601,15.1312,8.8558,15.1312,3.5090,1,6.251,6.544
7,DATA_20260323_060343.BIN,8.8558,15.5478,5.9130,15.5478,1.6830,1,3.612,6.831
8,DATA_20260323_060343.BIN,5.9130,11.0296,4.9439,11.0296,4.8180,1,2.646,9.713
9,DATA_20260323_060343.BIN,4.9439,11.5195,5.0554,11.5195,4.7300,1,6.184,10.331
10,DATA_20260323_060343.BIN,5.0554,19.9879,8.5331,19.9879,1.9470,1,4.265,6.331
11,DATA_20260323_060343.BIN,1.6450,11.7081,6.4950,11.7081,6.6660,1,5.648,5.816
12,DATA_20260323_060343.BIN,6.4950,10.3060,6.3358,10.3060,4.2240,1,8.707,8.711
13,DATA_20260323_060343.BIN,6.3358,17.7907,8.8032,17.7907,8.4150,1,7.752,9.616
14,DATA_20260323_060343.BIN,8.8032,18.2046,6.5852,18.2046,6.6330,1,9.273,9.379
15,DATA_20260323_060343.BIN,6.5852,12.1627,6.6617,12.1627,3.4430,1,2.687,3.309
16,DATA_20260323_060343.BIN,6.6617,12.9752,3.3905,12.9752,4.1140,1,6.099,8.875
17,DATA_20260323_060343.BIN,3.3905,9.8215,1.8162,9.8215,4.8510,1,1.527,3.793
18,DATA_20260323_060343.BIN,1.8162,10.4908,2.5133,10.4908,4.7410,1,2.791,4.798
19,DATA_20260323_060343.BIN,6.0059,13.1635,0.8170,13.1635,4.1030,1,2.089,2.957
20,DATA_20260323_060343.BIN,0.8170,16.6044,4.9404,16.6044,4.6200,1,5.342,5.350
21,DATA_20260323_060343.BIN,4.3779,12.6284,4.0082,12.6284,1.0230,1,1.677,1.780
22,DATA_20260323_060343.BIN,4.0082,11.5614,4.2702,11.5614,1.0890,1,2.526,2.793
23,DATA_20260323_060343.BIN,0.2393,9.5305,3.9612,9.5305,3.3000,1,4.102,4.901
24,DATA_20260323_060343.BIN,3.9612,12.2070,2.0965,12.2070,3.5750,1,6.064,6.065
25,DATA_20260323_060343.BIN,2.0965,11.0073,4.3759,11.0073,2.6840,1,6.002,6.093
26,DATA_20260323_060343.BIN,4.3759,13.1223,4.7734,13.1223,1.1880,1,2.203,2.356
27,DATA_20260323_060343.BIN,5.8996,13.2478,5.9129,13.2478,1.1660,1,4.058,4.410
28,DATA_20260323_060343.BIN,3.5040,12.0607,4.4126,12.0607,1.1220,1,0.750,0.813
29,DATA_20260323_060343.BIN,2.9430,10.0141,3.1052,10.0141,1.2980,1,0.341,0.372
30,DATA_20260323_060343.BIN,3.1052,11.8450,3.7470,11.8450,2.3540,1,0.972,3.197
31,DATA_20260323_060343.BIN,3.7470,12.4877,5.8871,12.4877,1.2210,1,1.308,1.866
32,DATA_20260323_060343.BIN,5.4045,13.7938,5.2250,13.7938,2.5740,1,2.558,3.497
33,DATA_20260323_060343.BIN,5.2250,13.4647,1.3791,13.4647,5.7420,1,2.947,3.681
34,DATA_20260323_060343.BIN,1.3791,7.5666,2.5753,7.5666,2.4640,1,2.693,2.993
35,DATA_20260323_060343.BIN,2.5753,11.6508,4.2987,11.6508,2.7610,1,3.324,3.780
36,DATA_20260323_060343.BIN,5.1511,12.6650,8.4193,12.6650,1.9470,1,2.349,2.647
37,DATA_20260323_060343.BIN,0.5189,7.2122,0.6941,7.2122,2.3980,1,3.716,6.022
38,DATA_20260323_060343.BIN,3.9049,10.1057,5.5353,10.1057,6.0830,1,1.660,1.906
