date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,41,1.1739,6.3818,0.9115,6.3818,4.5650,1,1.567,1.889
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,42,0.9115,4.9496,1.3588,4.9496,1.4740,1,0.947,0.953
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,43,1.3588,5.7225,1.9668,5.7225,1.4850,1,1.755,1.822
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,44,1.9668,12.3426,1.4387,12.3426,5.0930,1,2.211,2.225
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,45,1.4387,5.7909,0.6304,5.7909,1.7160,1,0.736,1.948
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,46,1.2367,5.2052,2.2576,5.2052,3.0580,1,2.565,5.690
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,47,2.2576,9.6673,1.2863,9.6673,1.5950,1,3.761,6.385
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,48,2.3102,7.3696,3.5409,7.3696,1.5510,1,3.138,4.345
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,49,1.5300,5.3459,0.9766,5.3459,1.4190,1,1.159,1.257
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,50,0.9766,8.9602,0.9956,8.9602,1.5840,1,0.681,0.739
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,51,0.9956,5.5060,0.9865,5.5060,1.4410,1,1.960,2.323
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,52,3.1994,7.9562,2.2415,7.9562,3.0690,1,3.269,3.341
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,53,2.2415,6.9234,2.2485,6.9234,1.7490,1,2.107,2.118
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,54,2.4025,8.1875,0.5899,8.1875,3.2890,1,3.389,6.791
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,55,6.2659,22.9618,2.5641,22.9618,4.9940,1,7.218,7.229
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,56,2.5641,18.5650,1.1468,18.5650,3.6190,1,4.242,13.795
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,57,5.3786,9.6785,3.4106,9.6785,2.2220,1,5.239,12.293
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,58,3.4106,13.6201,4.8698,13.6201,4.6090,1,3.100,4.438
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,59,4.8698,10.0094,3.7844,10.0094,2.3760,1,4.458,4.857
