cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260325_074840.BIN,2.1485,6.1410,1.6293,6.1410,1.3310,1,6.130,7.044
1,DATA_20260325_074840.BIN,1.6293,4.6378,1.2146,4.6378,5.0270,1,7.935,9.401
2,DATA_20260325_074840.BIN,0.1883,5.5430,1.1942,5.5430,1.8260,1,5.058,6.037
3,DATA_20260325_074840.BIN,1.1942,8.8615,0.2763,8.8615,3.2670,1,3.382,5.651
4,DATA_20260325_074840.BIN,0.2763,6.3901,0.9960,6.3901,3.9600,1,4.133,10.318
5,DATA_20260325_074840.BIN,0.9960,6.0856,2.1010,6.0856,3.1570,1,4.901,4.975
6,DATA_20260325_074840.BIN,2.1010,5.8517,1.5791,5.8517,2.5740,1,3.055,9.683
7,DATA_20260325_074840.BIN,1.6100,7.7010,2.1432,7.7010,7.8760,1,5.117,11.225
8,DATA_20260325_074840.BIN,2.1432,4.3123,1.9990,4.3123,3.5310,1,4.125,4.409
9,DATA_20260325_074840.BIN,1.9990,6.2489,1.6572,6.2489,8.7010,1,3.252,7.289
10,DATA_20260325_074840.BIN,1.6572,3.9865,1.1342,3.9865,2.5190,1,4.161,7.452
11,DATA_20260325_074840.BIN,1.1342,4.1426,1.9952,4.1426,1.7710,1,1.760,6.986
12,DATA_20260325_074840.BIN,1.9952,6.3404,3.3786,6.3404,2.7830,1,3.179,5.965
13,DATA_20260325_074840.BIN,1.4095,4.7533,0.8826,4.7533,1.5070,1,2.972,3.597
14,DATA_20260325_074840.BIN,0.8826,6.7974,1.2639,6.7974,2.1120,1,0.350,0.839
15,DATA_20260325_074840.BIN,1.2639,3.0809,0.5677,3.0809,2.1340,1,1.877,7.594
16,DATA_20260325_074840.BIN,0.6913,3.8096,0.8304,3.8096,3.9820,1,0.920,3.553
17,DATA_20260325_074840.BIN,0.8304,7.2861,1.0228,7.2861,4.7300,1,2.014,3.299
18,DATA_20260325_074840.BIN,1.0228,8.5578,5.2711,8.5578,2.2660,1,2.038,3.080
19,DATA_20260325_074840.BIN,5.2711,20.0502,1.2984,20.0502,4.5320,1,7.030,7.140
20,DATA_20260325_074840.BIN,1.2984,6.4270,2.2763,6.4270,3.5420,1,1.070,3.392
21,DATA_20260325_074840.BIN,2.2763,10.6613,3.0416,10.6613,1.8810,1,2.714,4.604
22,DATA_20260325_074840.BIN,0.4669,7.3372,2.7630,7.3372,6.6660,1,0.338,3.763
23,DATA_20260325_074840.BIN,2.7576,8.5044,2.8690,8.5044,3.7180,1,3.356,3.454
24,DATA_20260325_074840.BIN,2.8690,12.2688,4.1938,12.2688,1.3310,1,3.523,3.534
25,DATA_20260325_074840.BIN,4.1938,29.6043,20.3082,29.6043,8.0850,1,5.038,5.444
26,DATA_20260325_074840.BIN,10.0450,25.2440,8.8860,25.2440,1.9800,1,13.023,21.040
27,DATA_20260325_074840.BIN,11.2614,17.5845,8.0025,17.5845,3.1900,1,13.082,16.238
28,DATA_20260325_074840.BIN,4.7166,13.0604,7.5187,13.0604,2.4090,1,5.746,19.253
29,DATA_20260325_080000.BIN,9.5414,21.7681,8.9548,21.7681,4.4550,1,14.869,15.662
30,DATA_20260325_080000.BIN,12.1030,17.4608,11.4054,17.4608,1.4960,1,12.322,12.716
31,DATA_20260325_080000.BIN,10.6084,19.5301,11.1310,19.5301,3.2560,1,9.164,9.181
32,DATA_20260325_080000.BIN,11.1310,19.8914,11.5280,19.8914,8.6790,1,9.510,9.716
