cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260320_055705.BIN,5.6057,8.8564,1.3648,8.8564,6.2480,1,0.661,1.381
1,DATA_20260320_055705.BIN,1.3648,5.6381,3.6546,5.6381,2.2550,1,7.181,10.959
2,DATA_20260320_055705.BIN,3.9363,6.8718,4.0918,6.8718,1.6390,1,10.526,12.059
3,DATA_20260320_055705.BIN,4.0918,7.2985,4.5701,7.2985,3.3330,1,9.652,11.342
4,DATA_20260320_055705.BIN,4.5701,7.8380,3.8118,7.8380,4.2350,1,8.625,10.447
5,DATA_20260320_055705.BIN,3.2557,5.4102,1.4504,5.4102,2.0790,1,5.584,8.554
6,DATA_20260320_055705.BIN,1.2347,2.9321,1.6668,2.9321,2.2000,1,3.263,7.770
7,DATA_20260320_055705.BIN,0.2797,5.4344,0.6642,5.4344,6.4680,1,3.002,3.016
8,DATA_20260320_055705.BIN,0.6642,2.0818,0.4041,2.0818,4.8180,1,1.593,1.985
9,DATA_20260320_055705.BIN,0.4041,1.9991,0.7426,1.9991,3.0580,1,2.203,3.001
10,DATA_20260320_055705.BIN,0.7426,2.4257,0.9515,2.4257,4.9280,1,2.728,3.481
11,DATA_20260320_055705.BIN,1.8456,5.1573,1.9305,5.1573,4.2570,1,2.640,3.594
12,DATA_20260320_055705.BIN,1.9305,3.8423,1.3478,3.8423,4.4330,1,3.538,4.133
13,DATA_20260320_055705.BIN,1.3478,3.5274,0.9822,3.5274,3.3330,1,2.496,3.492
14,DATA_20260320_055705.BIN,0.9822,2.7987,0.2697,2.7987,5.5880,1,1.499,2.652
15,DATA_20260320_060000.BIN,12.8634,20.7899,14.9884,20.7899,3.5420,1,51.340,68.397
16,DATA_20260320_060000.BIN,14.9884,19.9200,11.3940,19.9200,8.2720,1,39.740,69.613
17,DATA_20260320_060000.BIN,11.3940,18.5361,10.8481,18.5361,1.6500,1,42.087,55.989
18,DATA_20260320_060000.BIN,10.8481,17.3339,13.0002,17.3339,9.4930,1,37.542,52.256
19,DATA_20260320_060000.BIN,13.0002,31.0545,13.8093,31.0545,7.9970,1,35.698,45.913
20,DATA_20260320_060000.BIN,13.8093,18.3880,13.5026,18.3880,1.6390,1,31.877,44.951
21,DATA_20260320_060000.BIN,13.5026,18.2763,14.4765,18.2763,2.3980,1,20.948,31.549
22,DATA_20260320_060000.BIN,15.4621,20.4019,15.7580,20.4019,5.3240,1,25.870,31.175
23,DATA_20260320_060000.BIN,15.7379,20.1023,9.3928,20.1023,3.1460,1,26.738,30.195
24,DATA_20260320_060000.BIN,9.3928,16.4800,11.7295,16.4800,3.0470,1,8.839,30.579
25,DATA_20260320_060000.BIN,11.6825,20.5019,15.0436,20.5019,6.7430,1,18.955,19.588
26,DATA_20260320_060000.BIN,15.0436,21.8435,16.9138,21.8435,3.2780,1,16.128,33.089
27,DATA_20260320_060000.BIN,9.1219,17.3600,9.3386,17.3600,1.6170,1,23.783,28.233
28,DATA_20260320_060000.BIN,9.3386,17.7106,9.9854,17.7106,2.9150,1,25.363,29.941
29,DATA_20260320_060000.BIN,15.8626,19.7399,9.7858,19.7399,4.0590,1,21.287,22.267
30,DATA_20260320_060000.BIN,9.7858,21.4283,11.0349,21.4283,1.8150,1,16.453,18.506
31,DATA_20260320_060000.BIN,11.0349,17.3574,9.2184,17.3574,8.9650,1,14.790,15.464
32,DATA_20260320_060000.BIN,9.2184,21.2269,12.3685,21.2269,2.3100,1,10.522,11.405
33,DATA_20260320_060000.BIN,6.6147,19.4265,9.9415,19.4265,4.2350,1,17.974,23.243
34,DATA_20260320_060000.BIN,12.8394,17.5164,12.6357,17.5164,4.1250,1,8.162,16.559
35,DATA_20260320_060000.BIN,12.6357,24.6591,15.6501,24.6591,6.6550,1,12.787,12.825
36,DATA_20260320_060000.BIN,10.2299,18.6636,8.5140,18.6636,2.7170,1,8.204,8.604
37,DATA_20260320_060000.BIN,8.5140,16.2761,9.8533,16.2761,2.0240,1,5.358,5.387
38,DATA_20260320_060000.BIN,14.0249,18.3091,12.9705,18.3091,9.4600,1,16.273,16.534
39,DATA_20260320_060000.BIN,8.5257,18.2792,10.2704,18.2792,1.4630,1,1.828,8.537
40,DATA_20260320_060000.BIN,10.2704,15.5248,9.7319,15.5248,4.0810,1,5.689,5.734
41,DATA_20260320_060000.BIN,9.7319,17.0483,7.7607,17.0483,1.5950,1,5.471,5.944
42,DATA_20260320_060000.BIN,7.7607,18.3905,13.6360,18.3905,7.2490,1,5.086,5.124
43,DATA_20260320_060000.BIN,13.6360,19.9970,13.7291,19.9970,5.4230,1,11.916,11.917
44,DATA_20260320_060000.BIN,13.7291,18.4666,7.7999,18.4666,6.4900,1,10.619,11.595
45,DATA_20260320_060000.BIN,7.7999,15.1315,1.7868,15.1315,3.6740,1,4.023,5.116
46,DATA_20260320_060000.BIN,1.7868,23.2979,1.9863,23.2979,2.2880,1,12.202,13.925
47,DATA_20260320_060000.BIN,9.7474,16.8000,2.2027,16.8000,3.0470,1,15.806,16.250
48,DATA_20260320_060000.BIN,6.3832,14.0209,9.5561,14.0209,2.1890,1,4.083,4.130
49,DATA_20260320_060000.BIN,11.9479,16.2509,11.1531,16.2509,4.5760,1,9.304,9.669
50,DATA_20260320_060000.BIN,11.1531,15.6774,10.7201,15.6774,3.0800,1,4.781,5.302
51,DATA_20260320_060000.BIN,10.7201,14.8286,6.4903,14.8286,1.9140,1,7.580,7.654
52,DATA_20260320_060000.BIN,6.4903,15.6209,9.5166,15.6209,1.8260,1,3.195,3.413
53,DATA_20260320_060000.BIN,9.5166,19.5051,12.3511,19.5051,4.6200,1,7.791,9.071
54,DATA_20260320_060000.BIN,12.3511,16.0436,4.2464,16.0436,2.7940,1,8.586,8.587
