cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260421_085611.BIN,2.6405,4.9617,1.3966,4.9617,1.9250,1,4.515,5.307
1,DATA_20260421_085611.BIN,1.0068,4.0447,1.8598,4.0447,3.5090,1,3.302,4.442
2,DATA_20260421_085611.BIN,1.8598,3.6751,1.6656,3.6751,2.3210,1,2.893,5.602
3,DATA_20260421_085611.BIN,1.6656,5.2382,0.6687,5.2382,6.0390,1,3.078,3.098
4,DATA_20260421_085611.BIN,0.6687,3.6596,1.1097,3.6596,4.2240,1,3.259,4.724
5,DATA_20260421_085611.BIN,1.1097,8.8778,1.8635,8.8778,3.9600,1,2.879,2.879
6,DATA_20260421_085611.BIN,1.8635,3.9077,1.0510,3.9077,2.7610,1,2.771,3.933
7,DATA_20260421_085611.BIN,1.0510,4.4669,1.3853,4.4669,1.3970,1,1.445,2.081
8,DATA_20260421_085611.BIN,1.3853,4.8941,0.8399,4.8941,2.7500,1,1.309,1.654
9,DATA_20260421_085611.BIN,0.8399,4.2436,0.4032,4.2436,1.7380,1,1.989,2.033
10,DATA_20260421_085611.BIN,0.4032,9.4595,1.8528,9.4595,1.5840,1,2.026,2.556
11,DATA_20260421_085611.BIN,0.9012,4.5678,0.2134,4.5678,3.5420,1,2.750,3.905
12,DATA_20260421_085611.BIN,0.2134,4.6349,0.2218,4.6349,1.5290,1,1.741,2.646
13,DATA_20260421_085611.BIN,1.0763,3.5437,0.2601,3.5437,3.2560,1,0.845,2.839
14,DATA_20260421_085611.BIN,0.2601,3.6914,0.6818,3.6914,5.8410,1,1.679,1.979
15,DATA_20260421_085611.BIN,0.6818,2.4654,0.5451,2.4654,1.4520,1,1.015,2.485
16,DATA_20260421_085611.BIN,0.5451,2.8228,1.1135,2.8228,2.6290,1,0.990,0.990
17,DATA_20260421_085611.BIN,0.5962,10.1770,2.3449,10.1770,6.5230,1,1.741,1.845
18,DATA_20260421_085611.BIN,2.3449,11.6686,1.0537,11.6686,1.3860,1,3.309,3.311
19,DATA_20260421_085611.BIN,1.0537,3.7214,0.3036,3.7214,2.2660,1,1.345,1.791
20,DATA_20260421_085611.BIN,0.3036,4.0179,0.1658,4.0179,2.9370,1,0.657,0.868
21,DATA_20260421_085611.BIN,0.1658,4.0813,1.6545,4.0813,2.3430,1,0.554,0.561
22,DATA_20260421_085611.BIN,0.8417,3.1852,1.9282,3.1852,1.7930,1,0.332,1.167
23,DATA_20260421_085611.BIN,1.9282,5.0064,1.0532,5.0064,3.1020,1,2.723,2.728
24,DATA_20260421_085611.BIN,1.0532,3.3916,1.3034,3.3916,3.2560,1,1.087,1.612
25,DATA_20260421_085611.BIN,1.3034,3.7329,0.6397,3.7329,1.7050,1,1.035,3.142
26,DATA_20260421_085611.BIN,1.7609,5.5747,0.5597,5.5747,4.4550,1,1.407,3.192
27,DATA_20260421_085611.BIN,0.5597,2.8738,0.6519,2.8738,1.7820,1,0.827,5.180
28,DATA_20260421_085611.BIN,0.2937,2.4753,1.0563,2.4753,1.9580,1,0.468,0.931
29,DATA_20260421_085611.BIN,1.0006,4.3306,1.1565,4.3306,1.4410,1,1.165,1.492
30,DATA_20260421_085611.BIN,1.1565,2.7033,0.9885,2.7033,1.4190,1,0.854,2.790
31,DATA_20260421_085611.BIN,0.9885,3.8104,0.5472,3.8104,1.6280,1,1.418,3.278
32,DATA_20260421_085611.BIN,0.5472,3.1436,1.0142,3.1436,1.6610,1,0.445,3.600
33,DATA_20260421_085611.BIN,1.0142,4.1111,1.6852,4.1111,1.7160,1,1.615,2.604
34,DATA_20260421_085611.BIN,1.6852,3.8909,0.6790,3.8909,1.9580,1,1.673,1.733
35,DATA_20260421_085611.BIN,0.6790,4.7628,1.7275,4.7628,2.0130,1,0.174,4.607
36,DATA_20260421_085611.BIN,1.7275,4.2966,0.6202,4.2966,1.4410,1,1.770,3.386
37,DATA_20260421_085611.BIN,1.4852,3.9005,1.4935,3.9005,4.7080,1,1.809,2.299
38,DATA_20260421_085611.BIN,1.4935,3.3990,0.8374,3.3990,3.3770,1,1.163,1.223
39,DATA_20260421_085611.BIN,0.8374,3.5810,1.7026,3.5810,3.6960,1,0.976,0.977
40,DATA_20260421_085611.BIN,1.7026,3.4148,0.6713,3.4148,1.6830,1,1.699,5.355
41,DATA_20260421_085611.BIN,0.6713,3.0935,0.7923,3.0935,1.5950,1,0.607,0.831
42,DATA_20260421_085611.BIN,0.7923,3.8951,0.0954,3.8951,1.8810,1,0.254,3.662
43,DATA_20260421_085611.BIN,0.0954,1.7962,0.5537,1.7962,1.6170,1,1.039,2.003
