cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260424_084614.BIN,0.6519,4.3378,0.8292,4.3378,4.2460,1,2.822,2.971
1,DATA_20260424_084614.BIN,0.8292,9.6961,3.9495,9.6961,9.1080,1,2.566,2.742
2,DATA_20260424_084614.BIN,2.0906,5.8764,1.9542,5.8764,3.0580,1,4.525,4.526
3,DATA_20260424_084614.BIN,1.9542,5.7938,0.5351,5.7938,5.9290,1,4.194,4.539
4,DATA_20260424_084614.BIN,0.5351,4.0995,0.7868,4.0995,3.4650,1,2.110,4.099
5,DATA_20260424_084614.BIN,0.7868,5.0510,2.2577,5.0510,3.7290,1,2.180,3.045
6,DATA_20260424_084614.BIN,2.2577,6.4516,4.4635,6.4516,5.4560,1,3.410,3.716
7,DATA_20260424_084614.BIN,4.4635,7.3655,0.8705,7.3655,6.6440,1,6.057,6.086
8,DATA_20260424_084614.BIN,0.8705,3.5727,1.2515,3.5727,2.6290,1,1.112,1.125
9,DATA_20260424_084614.BIN,1.2515,4.9126,1.4277,4.9126,4.6310,1,1.182,1.869
10,DATA_20260424_084614.BIN,1.4277,3.9842,0.5900,3.9842,4.3120,1,1.230,3.565
11,DATA_20260424_084614.BIN,0.5900,4.4725,0.7417,4.4725,5.0930,1,1.136,1.178
12,DATA_20260424_084614.BIN,2.0855,5.3796,1.0372,5.3796,4.9060,1,2.775,2.841
13,DATA_20260424_084614.BIN,1.0372,3.9644,0.5034,3.9644,5.3570,1,1.077,1.659
14,DATA_20260424_084614.BIN,0.5034,4.3933,1.9527,4.3933,4.0480,1,0.717,1.845
15,DATA_20260424_084614.BIN,1.2887,7.1957,1.3921,7.1957,7.8980,1,1.614,1.694
16,DATA_20260424_084614.BIN,1.3921,5.8336,2.1458,5.8336,4.5210,1,1.498,1.754
17,DATA_20260424_084614.BIN,2.1458,7.1859,1.8691,7.1859,2.5520,1,2.513,2.808
18,DATA_20260424_084614.BIN,1.8691,5.8968,1.8453,5.8968,7.1940,1,1.794,3.671
19,DATA_20260424_084614.BIN,1.8453,5.5887,0.2739,5.5887,3.2230,1,1.825,1.830
20,DATA_20260424_084614.BIN,1.5611,4.3881,1.2052,4.3881,2.6840,1,1.383,1.425
21,DATA_20260424_084614.BIN,2.2629,4.1863,1.0652,4.1863,6.4680,1,2.962,3.073
22,DATA_20260424_084614.BIN,0.9845,5.1057,0.5577,5.1057,2.3980,1,1.547,2.312
