cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260429_092646.BIN,1.2299,4.1212,1.4604,4.1212,3.3330,1,1.329,1.494
1,DATA_20260429_092646.BIN,1.8331,6.0799,2.1132,6.0799,5.0380,1,0.277,0.945
2,DATA_20260429_092646.BIN,2.1132,7.2620,2.9808,7.2620,6.6330,1,3.315,3.374
3,DATA_20260429_092646.BIN,7.1001,9.6741,2.5841,9.6741,6.7980,1,9.077,9.086
4,DATA_20260429_092646.BIN,2.5841,4.4137,1.9147,4.4137,2.4640,1,2.760,3.016
5,DATA_20260429_092646.BIN,0.0964,2.5210,0.4238,2.5210,3.9600,1,1.649,1.870
6,DATA_20260429_092646.BIN,0.4238,6.0653,1.2200,6.0653,3.4430,1,2.014,2.415
7,DATA_20260429_092646.BIN,1.2200,2.9361,0.1507,2.9361,3.9050,1,2.559,2.963
8,DATA_20260429_092646.BIN,0.2425,3.4949,0.7194,3.4949,4.6310,1,1.285,3.541
9,DATA_20260429_092646.BIN,0.3687,3.9499,0.8044,3.9499,8.6460,1,0.818,2.397
10,DATA_20260429_092646.BIN,0.8044,2.7212,0.9298,2.7212,4.5980,1,1.468,1.482
11,DATA_20260429_092646.BIN,0.9298,3.5940,2.1333,3.5940,2.4640,1,1.934,1.946
12,DATA_20260429_092646.BIN,1.3406,4.4707,1.3406,4.4707,3.6850,1,1.725,1.764
13,DATA_20260429_092646.BIN,1.0489,3.6616,1.6940,3.6616,5.0820,1,1.184,1.549
14,DATA_20260429_092646.BIN,2.6417,4.6657,0.8589,4.6657,8.1950,1,3.322,3.323
15,DATA_20260429_092646.BIN,0.8589,4.2047,0.8623,4.2047,8.6020,1,0.542,1.855
16,DATA_20260429_092646.BIN,0.8623,2.5527,0.5247,2.5527,4.3450,1,0.894,2.989
17,DATA_20260429_092646.BIN,0.3064,2.8687,0.9774,2.8687,4.6750,1,0.338,2.173
18,DATA_20260429_092646.BIN,1.1035,2.7075,0.8833,2.7075,4.1690,1,1.354,1.826
19,DATA_20260429_092646.BIN,0.8833,3.9080,0.9372,3.9080,6.2480,1,1.429,1.430
20,DATA_20260429_092646.BIN,1.6766,3.6491,1.7634,3.6491,2.0130,1,1.774,2.098
21,DATA_20260429_092646.BIN,1.7634,4.7353,3.5515,4.7353,1.7270,1,1.787,1.875
22,DATA_20260429_092646.BIN,1.8532,4.2885,0.2799,4.2885,4.7960,1,2.649,2.677
23,DATA_20260429_092646.BIN,0.2799,2.2961,0.2855,2.2961,2.7500,1,0.458,1.556
24,DATA_20260429_092646.BIN,2.2972,3.9629,1.3181,3.9629,9.6580,1,2.396,2.562
25,DATA_20260429_092646.BIN,0.7625,3.9687,0.2812,3.9687,8.8550,1,0.979,2.354
26,DATA_20260429_092646.BIN,0.2812,4.0572,0.4278,4.0572,4.4330,1,1.179,1.326
27,DATA_20260429_092646.BIN,0.4278,3.3725,0.8919,3.3725,3.7070,1,0.412,1.747
28,DATA_20260429_092646.BIN,0.8919,3.0412,0.7322,3.0412,1.6500,1,1.393,1.581
29,DATA_20260429_092646.BIN,0.7322,5.2918,1.1980,5.2918,3.2560,1,0.970,1.112
30,DATA_20260429_092646.BIN,1.1980,7.5856,1.2942,7.5856,8.9650,1,1.303,3.152
31,DATA_20260429_092646.BIN,1.2942,3.4286,0.6158,3.4286,6.5450,1,1.103,2.397
32,DATA_20260429_092646.BIN,0.6158,3.7719,0.2889,3.7719,6.5340,1,0.558,2.128
33,DATA_20260429_092646.BIN,0.2889,4.5751,1.0328,4.5751,3.7840,1,0.398,1.475
34,DATA_20260429_092646.BIN,0.7783,2.5655,0.4022,2.5655,3.9930,1,0.843,1.227
35,DATA_20260429_092646.BIN,0.9730,9.3438,0.9180,9.3438,4.0260,1,0.870,0.968
36,DATA_20260429_092646.BIN,3.0067,4.1314,1.1106,4.1314,3.1460,1,3.475,3.506
37,DATA_20260429_092646.BIN,1.7812,5.1086,0.4846,5.1086,3.4870,1,2.004,2.699
38,DATA_20260429_092646.BIN,1.2233,2.6689,1.0596,2.6689,7.7770,1,1.523,1.616
39,DATA_20260429_092646.BIN,1.1108,3.4906,0.4582,3.4906,4.8290,1,0.982,2.286
40,DATA_20260429_092646.BIN,0.4582,3.3067,0.6042,3.3067,5.0160,1,1.046,1.046
41,DATA_20260429_092646.BIN,0.4473,2.7481,0.0454,2.7481,5.8410,1,0.150,0.306
42,DATA_20260429_092646.BIN,0.4314,2.9537,0.5619,2.9537,2.1780,1,0.874,1.597
43,DATA_20260429_092646.BIN,2.2349,3.5711,1.1551,3.5711,3.4870,1,2.800,2.913
44,DATA_20260429_092646.BIN,0.4692,2.9674,1.2077,2.9674,3.7400,1,0.757,0.758
45,DATA_20260429_092646.BIN,1.2077,3.7821,0.6486,3.7821,3.2670,1,1.308,2.477
46,DATA_20260429_092646.BIN,0.6486,3.2484,1.3918,3.2484,8.0300,1,0.492,1.763
47,DATA_20260429_092646.BIN,1.6394,2.8734,1.4703,2.8734,2.4750,1,1.614,2.130
48,DATA_20260429_092646.BIN,0.3204,3.3304,0.5324,3.3304,1.6720,1,0.316,1.171
49,DATA_20260429_092646.BIN,1.0831,2.5885,0.1527,2.5885,7.7770,1,1.349,1.589
50,DATA_20260429_092646.BIN,0.1527,2.0236,0.2947,2.0236,7.0180,1,0.319,0.468
51,DATA_20260429_092646.BIN,0.4446,2.3828,0.4151,2.3828,2.2990,1,0.230,0.635
52,DATA_20260429_092646.BIN,1.7146,4.9196,0.1390,4.9196,2.3540,1,1.717,2.462
53,DATA_20260429_092646.BIN,0.6599,2.4335,0.2399,2.4335,2.3430,1,1.199,1.221
54,DATA_20260429_092646.BIN,0.2399,3.7575,0.4322,3.7575,8.8660,1,0.645,1.782
55,DATA_20260429_092646.BIN,0.6482,2.9812,1.2961,2.9812,9.9220,1,1.067,1.101
56,DATA_20260429_092646.BIN,1.2961,3.7185,1.4583,3.7185,5.3790,1,1.760,2.603
57,DATA_20260429_092646.BIN,1.9633,3.4947,1.3031,3.4947,5.4120,1,2.343,3.308
58,DATA_20260429_092646.BIN,1.0634,3.5870,0.5456,3.5870,6.9630,1,1.074,1.652
59,DATA_20260429_092646.BIN,0.5456,3.3319,0.6210,3.3319,2.4640,1,0.724,1.223
60,DATA_20260429_092646.BIN,0.6210,6.0269,1.8147,6.0269,9.2840,1,0.545,0.772
61,DATA_20260429_092646.BIN,0.3142,5.5270,0.7009,5.5270,6.6220,1,0.199,0.251
62,DATA_20260429_092646.BIN,1.7243,3.5680,1.1192,3.5680,7.1940,1,1.702,1.911
63,DATA_20260429_092646.BIN,0.5629,2.9903,0.5670,2.9903,3.7070,1,0.852,1.139
64,DATA_20260429_092646.BIN,0.5670,4.7603,0.4371,4.7603,7.9530,1,0.346,0.753
65,DATA_20260429_092646.BIN,0.1864,1.8758,0.3048,1.8758,8.9430,1,0.590,0.993
66,DATA_20260429_092646.BIN,0.4425,4.2966,1.5499,4.2966,5.5110,1,0.296,1.434
67,DATA_20260429_092646.BIN,0.1135,5.1389,1.3749,5.1389,8.5800,1,0.188,2.335
68,DATA_20260429_092646.BIN,1.3749,4.4881,0.4225,4.4881,8.7120,1,1.407,1.424
69,DATA_20260429_092646.BIN,0.4225,2.5083,0.9228,2.5083,5.5990,1,0.829,1.285
70,DATA_20260429_092646.BIN,0.9228,2.1768,0.6480,2.1768,2.8050,1,1.407,1.649
71,DATA_20260429_092646.BIN,0.6480,2.8758,0.5879,2.8758,3.1790,1,0.661,1.353
72,DATA_20260429_092646.BIN,0.5879,5.6837,2.2109,5.6837,7.0510,1,0.683,1.256
73,DATA_20260429_092646.BIN,0.2854,3.2142,1.1021,3.2142,9.3390,1,0.193,0.618
74,DATA_20260429_092646.BIN,0.7065,2.7607,0.7883,2.7607,3.6740,1,0.646,0.716
75,DATA_20260429_092646.BIN,0.7883,4.7752,1.3132,4.7752,5.5220,1,0.617,1.627
76,DATA_20260429_092646.BIN,1.3132,4.9427,3.1357,4.9427,3.6080,1,1.204,1.204
77,DATA_20260429_092646.BIN,3.1357,4.9942,2.2253,4.9942,3.0800,1,3.319,3.567
78,DATA_20260429_092646.BIN,2.2253,4.4387,1.4848,4.4387,1.9910,1,1.897,2.979
79,DATA_20260429_092646.BIN,1.4848,4.5483,0.7311,4.5483,4.2350,1,1.393,1.441
80,DATA_20260429_092646.BIN,0.5329,3.4770,1.0361,3.4770,3.0140,1,0.405,1.083
81,DATA_20260429_092646.BIN,0.7159,2.9983,1.3664,2.9983,1.7160,1,0.383,2.646
82,DATA_20260429_092646.BIN,1.3664,2.9908,0.7940,2.9908,1.2650,1,2.444,3.629
83,DATA_20260429_092646.BIN,0.7940,3.3604,1.1183,3.3604,1.4190,1,0.223,0.293
84,DATA_20260429_092646.BIN,1.1183,3.3999,1.7484,3.3999,1.2100,1,0.775,0.850
85,DATA_20260429_092646.BIN,1.7484,5.1893,2.6826,5.1893,1.3530,1,1.467,1.927
86,DATA_20260429_092646.BIN,0.5578,4.2371,0.4922,4.2371,9.1850,1,0.772,0.951
87,DATA_20260429_092646.BIN,0.4922,2.3068,0.5954,2.3068,4.6200,1,1.198,4.484
88,DATA_20260429_092646.BIN,0.5954,4.4070,1.9750,4.4070,7.0730,1,0.196,1.632
89,DATA_20260429_092646.BIN,0.3967,3.8529,0.9088,3.8529,4.5980,1,0.307,1.594
90,DATA_20260429_092646.BIN,0.4861,3.0539,0.2237,3.0539,2.8710,1,1.057,1.745
91,DATA_20260429_092646.BIN,0.2237,4.0861,1.1857,4.0861,2.3540,1,0.366,0.366
92,DATA_20260429_092646.BIN,1.1857,4.9921,1.3652,4.9921,8.0630,1,0.816,1.927
93,DATA_20260429_092646.BIN,1.3652,3.5517,1.2707,3.5517,4.5870,1,1.836,1.872
94,DATA_20260429_092646.BIN,1.2707,2.7084,1.3176,2.7084,3.3990,1,0.990,1.025
95,DATA_20260429_092646.BIN,1.4216,3.1685,0.6051,3.1685,2.8600,1,1.047,1.353
