cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260423_085514.BIN,1.2692,4.0629,1.1939,4.0629,1.4190,1,0.998,1.864
1,DATA_20260423_085514.BIN,1.1939,2.7650,1.3352,2.7650,1.5730,1,0.322,1.317
2,DATA_20260423_085514.BIN,1.3352,3.7219,1.4080,3.7219,6.7650,1,1.036,1.728
3,DATA_20260423_085514.BIN,1.4080,2.9487,1.8024,2.9487,4.0810,1,1.553,1.656
4,DATA_20260423_085514.BIN,1.8024,4.4679,1.2908,4.4679,3.3110,1,0.844,3.998
5,DATA_20260423_085514.BIN,1.2908,3.5065,1.2283,3.5065,2.9700,1,1.044,3.166
6,DATA_20260423_085514.BIN,5.3219,11.1697,9.9789,11.1697,8.8330,1,5.279,5.784
7,DATA_20260423_085514.BIN,2.4296,5.0768,3.0502,5.0768,4.0260,1,1.600,2.276
8,DATA_20260423_085514.BIN,3.0502,5.5192,1.8444,5.5192,9.8670,1,1.921,2.224
9,DATA_20260423_085514.BIN,1.8444,4.0968,0.6092,4.0968,4.5430,1,1.166,2.400
10,DATA_20260423_085514.BIN,0.6092,3.4464,1.2003,3.4464,5.3460,1,2.272,2.899
11,DATA_20260423_085514.BIN,1.2003,2.9510,0.9003,2.9510,2.9590,1,2.882,3.856
12,DATA_20260423_085514.BIN,0.9003,3.5765,0.8754,3.5765,2.1340,1,2.464,2.833
13,DATA_20260423_085514.BIN,0.8754,2.9766,0.7038,2.9766,1.7490,1,1.053,1.845
14,DATA_20260423_085514.BIN,0.1392,2.3579,0.4189,2.3579,8.3160,1,1.085,1.229
15,DATA_20260423_085514.BIN,0.4189,2.3179,0.4773,2.3179,6.7870,1,0.660,1.884
16,DATA_20260423_085514.BIN,0.4773,3.1141,1.0857,3.1141,3.6300,1,1.411,1.687
17,DATA_20260423_085514.BIN,1.0857,4.9337,1.8244,4.9337,3.0030,1,0.462,1.586
18,DATA_20260423_085514.BIN,0.6482,3.2081,0.4023,3.2081,7.0180,1,1.642,1.796
19,DATA_20260423_085514.BIN,0.4023,1.7853,0.2110,1.7853,3.8830,1,0.559,2.572
20,DATA_20260423_085514.BIN,0.2110,1.7885,0.9101,1.7885,3.1240,1,0.494,2.955
21,DATA_20260423_085514.BIN,0.9101,1.8482,0.7403,1.8482,3.3770,1,1.289,1.670
22,DATA_20260423_085514.BIN,0.7403,4.1103,1.4408,4.1103,4.2680,1,1.263,1.300
23,DATA_20260423_085514.BIN,0.9662,4.1722,1.6259,4.1722,1.5950,1,1.721,3.650
24,DATA_20260423_085514.BIN,1.6259,4.7046,1.3756,4.7046,2.7170,1,2.233,2.978
25,DATA_20260423_085514.BIN,2.1751,5.1578,1.1057,5.1578,2.5630,1,2.534,2.841
26,DATA_20260423_085514.BIN,1.1057,2.4122,0.7520,2.4122,1.1990,1,1.045,1.776
27,DATA_20260423_085514.BIN,1.1593,4.2791,2.4401,4.2791,2.5960,1,1.322,2.078
28,DATA_20260423_085514.BIN,2.4401,3.8765,0.4135,3.8765,3.9160,1,2.571,3.447
29,DATA_20260423_085514.BIN,0.4135,2.5951,1.6689,2.5951,4.2130,1,0.609,2.178
30,DATA_20260423_085514.BIN,1.0799,3.9932,0.5945,3.9932,4.1800,1,0.807,2.322
31,DATA_20260423_085514.BIN,0.5945,1.8711,0.2792,1.8711,5.4230,1,0.178,0.180
32,DATA_20260423_085514.BIN,0.2792,10.7134,4.4042,10.7134,7.1940,1,0.327,0.757
33,DATA_20260423_090000.BIN,11.0376,16.4014,11.3754,16.4014,6.2700,1,4.652,5.404
34,DATA_20260423_090000.BIN,4.4876,10.1117,6.7271,10.1117,7.1830,1,9.682,9.931
35,DATA_20260423_090000.BIN,7.8430,10.3938,7.9216,10.3938,6.2810,1,6.005,6.008
36,DATA_20260423_090000.BIN,7.9216,12.0231,5.7347,12.0231,7.6450,1,4.176,4.283
