cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260418_081036.BIN,0.8874,4.4654,0.4576,4.4654,5.0710,1,6.478,6.488
1,DATA_20260418_081036.BIN,0.4576,5.4306,2.0538,5.4306,7.6780,1,6.111,6.138
2,DATA_20260418_081036.BIN,1.3224,4.5887,0.7753,4.5887,4.3560,1,4.684,4.754
3,DATA_20260418_081036.BIN,0.7753,4.5787,1.8205,4.5787,8.9100,1,5.750,6.261
4,DATA_20260418_081036.BIN,0.4040,2.7783,0.8410,2.7783,1.4630,1,5.236,5.408
5,DATA_20260418_081036.BIN,1.8734,3.3851,1.1974,3.3851,5.8520,1,4.408,4.433
6,DATA_20260418_081036.BIN,1.1974,5.4744,3.0644,5.4744,5.5220,1,3.438,3.592
7,DATA_20260418_081036.BIN,3.0644,4.6397,2.0270,4.6397,6.9740,1,2.664,2.758
8,DATA_20260418_081036.BIN,2.0270,4.3522,2.0026,4.3522,1.9360,1,1.591,1.592
9,DATA_20260418_081036.BIN,2.4164,5.8554,3.7713,5.8554,6.0060,1,1.047,1.057
10,DATA_20260418_081036.BIN,3.8540,8.2815,5.7130,8.2815,5.2580,1,5.713,6.219
11,DATA_20260418_081036.BIN,1.1324,4.0746,2.4933,4.0746,5.2030,1,2.674,2.689
12,DATA_20260418_081036.BIN,2.4933,7.8296,1.7866,7.8296,8.2720,1,1.585,1.615
13,DATA_20260418_081036.BIN,1.7866,4.5470,2.7323,4.5470,7.1280,1,2.919,2.928
14,DATA_20260418_081036.BIN,4.1064,6.8894,3.1054,6.8894,4.0700,1,3.015,3.774
15,DATA_20260418_081036.BIN,2.8930,5.4424,2.4865,5.4424,4.3120,1,1.207,2.347
16,DATA_20260418_081036.BIN,3.0055,5.5985,3.3927,5.5985,7.2490,1,1.326,1.326
17,DATA_20260418_081036.BIN,3.3927,5.7100,1.8109,5.7100,6.3360,1,3.421,4.584
18,DATA_20260418_081036.BIN,3.7629,5.9643,4.1828,5.9643,4.5430,1,1.526,1.527
19,DATA_20260418_081036.BIN,3.3674,5.4950,2.2686,5.4950,4.2460,1,2.578,2.591
20,DATA_20260418_081036.BIN,3.0564,5.4848,2.5006,5.4848,4.8510,1,0.957,1.867
21,DATA_20260418_081036.BIN,2.5006,6.6999,2.5384,6.6999,6.4020,1,1.558,3.249
22,DATA_20260418_081036.BIN,2.5384,6.8023,3.2070,6.8023,9.3500,1,3.451,3.536
23,DATA_20260418_081036.BIN,3.8627,6.0274,1.8345,6.0274,5.5990,1,2.284,2.470
24,DATA_20260418_081036.BIN,3.0627,5.9870,2.7121,5.9870,4.8620,1,1.014,3.392
25,DATA_20260418_081036.BIN,2.7121,5.0396,2.8526,5.0396,9.4930,1,2.622,4.334
26,DATA_20260418_081036.BIN,2.8526,4.8240,2.4661,4.8240,6.4020,1,2.329,2.346
27,DATA_20260418_081036.BIN,2.0850,5.0571,1.1345,5.0571,5.4230,1,1.425,1.530
28,DATA_20260418_081036.BIN,1.5522,4.7207,1.1801,4.7207,7.2050,1,2.938,3.215
29,DATA_20260418_081036.BIN,1.1801,4.8661,1.3405,4.8661,5.7090,1,2.052,2.379
30,DATA_20260418_081036.BIN,1.2514,4.1198,1.7937,4.1198,1.5510,1,2.219,2.399
31,DATA_20260418_081036.BIN,1.7937,4.8056,0.9321,4.8056,2.6620,1,3.161,3.357
32,DATA_20260418_081036.BIN,0.9321,3.6488,1.4605,3.6488,5.5880,1,1.005,1.007
33,DATA_20260418_081036.BIN,1.4605,3.0248,1.5481,3.0248,4.9170,1,0.517,0.544
34,DATA_20260418_081036.BIN,0.8847,4.1369,1.3151,4.1369,4.0150,1,1.503,2.170
35,DATA_20260418_081036.BIN,1.3151,3.7002,1.6278,3.7002,5.7750,1,1.107,2.150
36,DATA_20260418_081036.BIN,1.6278,4.2962,1.1243,4.2962,6.0060,1,1.776,4.743
37,DATA_20260418_081036.BIN,0.9092,3.3090,0.9011,3.3090,3.7400,1,1.784,1.917
38,DATA_20260418_081036.BIN,0.9011,6.5557,2.4654,6.5557,8.9540,1,2.176,2.787
