cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260428_083001.BIN,1.2851,4.5806,1.6829,4.5806,2.2880,1,2.062,2.234
1,DATA_20260428_083001.BIN,1.6829,3.9469,1.1316,3.9469,1.5070,1,1.531,1.539
2,DATA_20260428_083001.BIN,1.1316,5.6175,0.1612,5.6175,5.4230,1,2.494,2.768
3,DATA_20260428_083001.BIN,0.1612,9.9309,4.3348,9.9309,9.8780,1,1.052,2.729
4,DATA_20260428_083001.BIN,4.3348,7.2408,5.5196,7.2408,2.3430,1,5.867,6.004
5,DATA_20260428_083001.BIN,12.9528,14.5148,3.1004,14.5148,7.9530,1,15.262,15.307
6,DATA_20260428_083001.BIN,3.1004,8.2803,4.0573,8.2803,3.3660,1,2.482,2.887
7,DATA_20260428_083001.BIN,0.3850,4.1374,1.5410,4.1374,2.4750,1,1.055,2.584
8,DATA_20260428_083001.BIN,1.5410,5.6267,0.0779,5.6267,6.5670,1,1.128,2.656
9,DATA_20260428_083001.BIN,0.0779,10.7989,2.0838,10.7989,8.8660,1,1.429,4.144
10,DATA_20260428_083001.BIN,2.0838,11.5034,3.2240,11.5034,1.8590,1,3.644,3.644
11,DATA_20260428_083001.BIN,3.2240,8.0366,0.7207,8.0366,3.1240,1,4.608,4.631
12,DATA_20260428_083001.BIN,0.7207,6.6761,0.7272,6.6761,3.0030,1,0.273,0.436
13,DATA_20260428_083001.BIN,0.7272,4.0961,1.4130,4.0961,4.5430,1,1.129,1.174
14,DATA_20260428_083001.BIN,1.1723,2.8483,1.1599,2.8483,4.4110,1,0.847,1.793
15,DATA_20260428_083001.BIN,1.4895,3.1993,1.4678,3.1993,2.3100,1,1.595,2.461
16,DATA_20260428_083001.BIN,1.7566,4.1881,1.1084,4.1881,6.0610,1,1.492,1.662
17,DATA_20260428_083001.BIN,1.1084,4.2784,0.6327,4.2784,2.0130,1,0.950,1.116
18,DATA_20260428_083001.BIN,0.6327,3.1782,0.4043,3.1782,1.1110,1,0.795,1.792
19,DATA_20260428_083001.BIN,0.4043,4.1890,1.6943,4.1890,1.2430,1,0.281,1.462
